number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.7901104459031365,0.009803055927627695,0.9691894520798701,logloss,0.002616267416739127,0.08961878864920057,13,281,binary:logistic,0.7540186081319316,gpu_hist,COMPLETE
1,0.7900027670113396,0.3703913299352746,0.4491854575745109,logloss,0.051186093797599835,0.015264129758892162,3,190,binary:logistic,0.47781416779476105,gpu_hist,COMPLETE
2,0.7738210700959653,1.8130887914237492,0.7612046037182509,logloss,0.054161274243816136,0.0015712448326878849,11,229,binary:logistic,0.9531417190315602,gpu_hist,COMPLETE
3,0.7833455733472142,0.3419574831346868,0.8655103977306926,logloss,0.05204425315197294,0.0037383743364850855,13,156,binary:logistic,0.7291818843596867,gpu_hist,COMPLETE
4,0.7868063396792554,0.16352017776067285,0.7746535488127746,logloss,0.0017606960924347655,0.003447923980362652,20,71,binary:logistic,0.8008431753366521,gpu_hist,COMPLETE
5,0.7968079745500505,0.007014367772641966,0.40332360891605024,logloss,8.34096787597153,0.01798070223251322,5,136,binary:logistic,0.8668287397064394,gpu_hist,COMPLETE
6,0.7968350027133968,0.03237077158638497,0.7519905583332611,logloss,0.005515545078614094,0.018338685373539974,5,179,binary:logistic,0.7742271614398983,gpu_hist,COMPLETE
7,0.7682125916129874,0.0024995227665933315,0.8139951413971436,logloss,3.32309441170089,0.002180949718611927,5,97,binary:logistic,0.6371023977110586,gpu_hist,COMPLETE
8,0.7898117226762387,3.2034737934935853,0.4658902031594026,logloss,0.02061922728702118,0.007130188412157227,13,288,binary:logistic,0.6001759454989675,gpu_hist,COMPLETE
9,0.7793696048364246,4.625549774297164,0.38980079949122853,logloss,0.0022023625737664925,0.0031808558846616614,13,184,binary:logistic,0.9364338151253756,gpu_hist,COMPLETE
10,0.7839540963249543,0.03190561508305207,0.6091842108707968,logloss,0.5484241271866579,0.046506604312617474,15,6,binary:logistic,0.4380833617740059,gpu_hist,COMPLETE
11,0.797030783371647,0.0012487990887623168,0.663883014448945,logloss,6.650618674869285,0.01862005291771326,5,107,binary:logistic,0.8378415209847181,gpu_hist,COMPLETE
12,0.7991352302266221,0.0013530348864245398,0.6219267472807135,logloss,0.683350470262435,0.029670877718410645,5,77,binary:logistic,0.8249858862573491,gpu_hist,COMPLETE
13,0.7996102754728791,0.0010486841553159533,0.5979845864157187,logloss,0.683504896297199,0.03649380350020914,7,57,binary:logistic,0.891999564703595,gpu_hist,COMPLETE
14,0.7977674055939241,0.0010697913866255708,0.558908551528684,logloss,0.6781968727652942,0.04159466669562401,7,28,binary:logistic,0.8921754011859343,gpu_hist,COMPLETE
15,0.7977713075957532,0.004471006292854315,0.5373386851741833,logloss,0.40692342808555043,0.050415339563614915,7,56,binary:logistic,0.9775028783213812,gpu_hist,COMPLETE
16,0.7811650258430495,0.022047914203902046,0.3154744068295348,logloss,1.4907364841893562,0.09456820588216742,9,50,binary:logistic,0.6495208582707316,gpu_hist,COMPLETE
17,0.7975486158356366,0.0026961881561254034,0.6812137240400407,logloss,0.2423513495786201,0.03023166115625468,17,87,binary:logistic,0.5514444300523375,gpu_hist,COMPLETE
18,0.791833767511726,0.012936577286903582,0.5704184937599612,logloss,0.1599295424094297,0.007348730804086102,7,125,binary:logistic,0.8981275329697262,gpu_hist,COMPLETE
19,0.7852250811894037,0.07251172594146071,0.6865912646339216,logloss,1.8909395822011024,0.010696091404498084,3,7,binary:logistic,0.819383279455495,gpu_hist,COMPLETE
20,0.7965287285579332,0.0010236714314206864,0.49323087252543335,logloss,1.3871463579089516,0.027744823408975553,20,35,binary:logistic,0.9972896451294861,gpu_hist,COMPLETE
21,0.7962672582410943,0.003879767206136406,0.5370281300450903,logloss,0.5057595687966473,0.05846243911615433,7,52,binary:logistic,0.9398390250150579,gpu_hist,COMPLETE
22,0.796296925595759,0.004715951587214709,0.633936584443837,logloss,0.3234871053215377,0.061051011615987194,7,73,binary:logistic,0.9614738971075423,gpu_hist,COMPLETE
23,0.7990586302671155,0.002774199144185662,0.5294807504910105,logloss,0.8914809847472609,0.028637372848852056,7,62,binary:logistic,0.9997611322732903,gpu_hist,COMPLETE
24,0.7988587593681871,0.0018866391015047565,0.595895843163934,logloss,3.2853651187989175,0.02916911533809874,15,97,binary:logistic,0.874065392412535,gpu_hist,COMPLETE
25,0.7980581279572317,0.015457365714066366,0.7180805939387265,logloss,0.10692034709646109,0.012008820652320737,9,117,binary:logistic,0.7085772065492352,gpu_hist,COMPLETE
26,0.7987786941608814,0.0022897941483364216,0.48692031992180695,logloss,1.0056413916709044,0.026710338017151468,11,25,binary:logistic,0.9211850971555917,gpu_hist,COMPLETE
27,0.7965033599174041,0.008273268743314067,0.625223761442759,logloss,3.3884286596030817,0.03472044922074321,17,75,binary:logistic,0.8454462397591065,gpu_hist,COMPLETE
28,0.7959327370721715,0.0018391133838157223,0.3952210044157425,logloss,0.1855296816195266,0.07195341482052603,7,160,binary:logistic,0.7848768839470976,gpu_hist,COMPLETE
29,0.7995057989214798,0.062388838267235756,0.9166158278091652,logloss,0.012086877009319258,0.023870228904451892,7,45,binary:logistic,0.7374080303270995,gpu_hist,COMPLETE
30,0.785520683085583,0.06629337196395668,0.9927121330403157,logloss,0.0076050772551560395,0.006852045578028105,5,251,binary:logistic,0.7425373013207883,gpu_hist,COMPLETE
31,0.7994267843462994,0.007261014248974592,0.927828878317754,logloss,0.014657664724704735,0.02273044221937252,7,42,binary:logistic,0.6635073843186857,gpu_hist,COMPLETE
32,0.7991574778214273,0.17305360648082974,0.9170768325809174,logloss,0.016352666032077585,0.021522695620500194,7,24,binary:logistic,0.6837698831291028,gpu_hist,COMPLETE
33,0.7995676660204488,1.125193367103544,0.9242074971652667,logloss,0.017479463990588716,0.022107777914001165,7,33,binary:logistic,0.6657177773088849,gpu_hist,COMPLETE
34,0.7979796173235287,1.5279579699083836,0.9225128738527386,logloss,0.01705771631247427,0.013479855536107387,7,2,binary:logistic,0.5298452238421058,gpu_hist,COMPLETE
35,0.7715912357901131,0.6245103487507296,0.9296104638097453,logloss,0.028857683555102355,0.0010899840875540712,7,38,binary:logistic,0.6004910496617252,gpu_hist,COMPLETE
36,0.7977053875903817,9.55981569997131,0.8578393673698443,logloss,0.0010588693490967585,0.03816278220499277,3,45,binary:logistic,0.6898700337724167,gpu_hist,COMPLETE
37,0.7977604931954756,0.5520724546120553,0.8645896220592127,logloss,0.009215961776337758,0.022365428255728015,11,17,binary:logistic,0.6505768779085983,gpu_hist,COMPLETE
38,0.793516942020133,0.12327823208573971,0.9617828293534982,logloss,0.0036599906453570175,0.07698976691455639,7,207,binary:logistic,0.5559293865370496,gpu_hist,COMPLETE
39,0.7982605871759654,0.3397636425520239,0.8171715360291267,logloss,0.05405403770540687,0.00914822374023498,20,89,binary:logistic,0.7485988446636267,gpu_hist,COMPLETE
40,0.798410010633215,0.04306578726050139,0.9000854870602927,logloss,0.032193225961733504,0.01571292421711794,7,133,binary:logistic,0.6127853957467082,gpu_hist,COMPLETE
41,0.7992811262360291,0.21920039680675016,0.9545349349015068,logloss,0.012404288090789634,0.01951550427148435,7,21,binary:logistic,0.6821469801110139,gpu_hist,COMPLETE
